Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
57,tr_better,0.59344981,0.506411709,0.664115813,0.550196897,0.491902834,0.61267033,0.661711657,0.549247686,0.732169998,0.527611298,0.447740519,0.765256808
58,tr_better,0.5979142,0.511474622,0.667339819,0.553219532,0.491730495,0.612969777,0.658522054,0.550200945,0.727194631,0.520244851,0.443040084,0.752539743
59,tr_better,0.593423212,0.509611718,0.663149214,0.553200239,0.485670762,0.598295155,0.658915275,0.54980965,0.725557518,0.523965377,0.446892304,0.752964765
60,tr_better,0.5967094,0.511852115,0.667420639,0.553064784,0.467414948,0.604525019,0.659507202,0.543665976,0.731000269,0.525545395,0.446515568,0.756676041
61,tr_better,0.59444919,0.504686096,0.666995142,0.553851161,0.49765315,0.614170976,0.660331359,0.549780206,0.729356641,0.524235248,0.448509106,0.748850822
62,tr_better,0.589964973,0.504438338,0.663157753,0.549938106,0.490621253,0.617587052,0.660472791,0.547359025,0.731515993,0.528128161,0.449308565,0.762484379
63,tr_better,0.595328622,0.514065892,0.666421462,0.55470176,0.480452153,0.606814935,0.658698962,0.544545423,0.730989626,0.522553086,0.444991152,0.750340851
64,tr_better,0.593840978,0.509920608,0.665733045,0.552145429,0.489191839,0.61952843,0.661380347,0.549262719,0.730058024,0.524836189,0.445630785,0.746251259
65,tr_better,0.59423583,0.513294179,0.663900841,0.554018119,0.487146645,0.611349455,0.658969459,0.543487132,0.728480002,0.524370171,0.446358694,0.756623865
66,tr_better,0.593737427,0.510943898,0.666225435,0.552791579,0.488459532,0.597887793,0.654840897,0.543672071,0.727168855,0.522001572,0.444616176,0.76099054
67,tr_better,0.594499847,0.511453542,0.667329799,0.554419522,0.493952151,0.612588137,0.659225384,0.540914545,0.729887101,0.524788568,0.448515986,0.753746629
68,tr_better,0.594521924,0.51106395,0.663410855,0.554175705,0.482520301,0.634568525,0.659622682,0.550124215,0.729084147,0.522981611,0.446550772,0.753522993
69,tr_better,0.593841562,0.507236971,0.665391257,0.553106938,0.481689408,0.613315174,0.660940278,0.545041603,0.729290388,0.524544925,0.445936489,0.753452395
70,tr_better,0.594493766,0.509634284,0.666010968,0.554861739,0.491064936,0.608542108,0.660145766,0.549818124,0.730783865,0.523473931,0.446008682,0.754594368
