Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
59,tr_worse,0.311956134,0.214724668,0.405930554,0.538988682,0.480480954,0.615599758,1.311902419,1.154136628,1.450382541,1.030661597,0.811468149,1.358086991
60,tr_worse,0.312590463,0.21339973,0.408619113,0.539180289,0.451108764,0.607320005,1.310777674,1.157801371,1.450208222,1.027715523,0.806006921,1.35010103
61,tr_worse,0.312962083,0.213720562,0.407202043,0.538978528,0.461247065,0.595890828,1.316130914,1.17543442,1.459573015,1.025242331,0.806864404,1.354348786
62,tr_worse,0.320014147,0.22264194,0.412061891,0.534803676,0.465255825,0.601776478,1.320724939,1.163712002,1.462121364,1.043030485,0.814565561,1.394343634
63,tr_worse,0.313828282,0.215150392,0.405850651,0.540277383,0.460814291,0.603319319,1.312344323,1.12129387,1.453129873,1.032564028,0.808999936,1.378309625
64,tr_worse,0.30993302,0.213691009,0.405404186,0.538096202,0.478657502,0.592214069,1.309024903,1.155303364,1.450479205,1.019622989,0.799240926,1.362054069
65,tr_worse,0.312846256,0.216294975,0.4071266,0.539347228,0.48308919,0.589763773,1.314886009,1.155812418,1.457915102,1.032303552,0.812568781,1.37381845
66,tr_worse,0.314349091,0.215490959,0.409308223,0.538585275,0.47082558,0.595613596,1.315087548,1.166345184,1.453714029,1.032559357,0.810392948,1.372299978
67,tr_worse,0.315769623,0.219918941,0.407959629,0.53971913,0.475810108,0.590787899,1.309262231,1.14631188,1.451631325,1.020344514,0.796711654,1.359954424
68,tr_worse,0.312213668,0.214179087,0.407295442,0.539080669,0.440908426,0.60404113,1.315076419,1.166072932,1.452619564,1.031576061,0.806475225,1.361713962
69,tr_worse,0.311833113,0.218782245,0.402406212,0.538426154,0.477708963,0.593032057,1.309709247,1.145453342,1.454446607,1.021730386,0.801865274,1.342046505
70,tr_worse,0.317119016,0.221310284,0.410383671,0.538879391,0.471847637,0.607990697,1.312013563,1.163417281,1.452427978,1.023697194,0.801377662,1.369677479
71,tr_worse,0.314094496,0.215359279,0.408752425,0.539258285,0.445428803,0.600971213,1.314455362,1.168978266,1.455127953,1.032991916,0.81277796,1.382966118
72,tr_worse,0.310406911,0.216851142,0.406192674,0.536416342,0.459289442,0.609653988,1.316720433,1.166276121,1.456251028,1.034102167,0.809982262,1.389038003
73,tr_worse,0.314085358,0.215624825,0.404971587,0.538501922,0.466178165,0.61176603,1.310735508,1.152847584,1.448128648,1.027345258,0.808153859,1.364905909
74,tr_worse,0.31449661,0.218153674,0.410847102,0.539117483,0.462736347,0.591318204,1.313947669,1.140215462,1.459561372,1.032808438,0.810843468,1.384311982
75,tr_worse,0.313544353,0.216336959,0.406036939,0.538885228,0.473348338,0.588959978,1.315000978,1.158138092,1.459305493,1.033974205,0.815985108,1.379931167
76,tr_worse,0.310906472,0.212224646,0.403941426,0.538080483,0.467004383,0.588399466,1.306728178,1.154027486,1.445216138,1.004793728,0.791598237,1.312500893
77,tr_worse,0.314771661,0.218124044,0.411781953,0.539125692,0.459015656,0.598264884,1.316514431,1.16206242,1.458131715,1.030221179,0.806101743,1.366837841
78,tr_worse,0.314721623,0.21937354,0.408435196,0.538351607,0.475412654,0.605692174,1.31467006,1.168502048,1.451182716,1.030780874,0.807343588,1.382324297
79,tr_worse,0.312972014,0.219073433,0.406634142,0.539188699,0.474723548,0.590532338,1.313757775,1.157866353,1.458001943,1.029416051,0.805308973,1.362427177
80,tr_worse,0.313255297,0.219585272,0.409910708,0.539146122,0.482578772,0.59523108,1.306826412,1.150751776,1.44585456,1.026211765,0.80341028,1.362484902
81,tr_worse,0.303264626,0.203979388,0.399576271,0.535669623,0.449825851,0.600835708,1.301477133,1.127919134,1.442030137,1.019893943,0.801025171,1.349705593
82,tr_worse,0.314348513,0.217270032,0.408170055,0.53775142,0.472892726,0.605380855,1.316613258,1.168390269,1.459761436,1.038095029,0.816285108,1.386880895
